artifact_set,artifact_type,artifact_main,n_need
Unfinished Reverie,goblet,CryoDMG,1
Unfinished Reverie,goblet,DEF,1
Unfinished Reverie,goblet,DendroDMG,1
Unfinished Reverie,goblet,EM,1
Unfinished Reverie,goblet,ElectroDMG,1
Unfinished Reverie,goblet,GeoDMG,1
Unfinished Reverie,goblet,HP,1
Unfinished Reverie,goblet,HydroDMG,1
Unfinished Reverie,goblet,PyroDMG,1
Unfinished Reverie,plume,ATK,1
Unfinished Reverie,sands,ATK,1
Unfinished Reverie,sands,DEF,1
Unfinished Reverie,sands,EM,1
Unfinished Reverie,sands,ER,1
Unfinished Reverie,sands,HP,1
Vermillion Hereafter,Circlet,Crit-DGM,1
Vermillion Hereafter,Circlet,CritRate,1
Vermillion Hereafter,Circlet,ER,1
Vermillion Hereafter,Goblet,ATK,1
Vermillion Hereafter,Goblet,PyroDMG,1
Vermillion Hereafter,Goblet,d,1
Vermillion Hereafter,Sands,ATK,1
Vermillion Hereafter,Sands,EM,1
Vermillion Hereafter,Sands,ER,1
Vermillion Hereafter,circlet,ATK,1
Vermillion Hereafter,circlet,DEF,1
Vermillion Hereafter,circlet,EM,1
Vermillion Hereafter,circlet,HP,1
Vermillion Hereafter,circlet,HealingBonus,1
Vermillion Hereafter,circlet,critDMG,1
Vermillion Hereafter,circlet,critRate,1
Vermillion Hereafter,flower,hp,1
Vermillion Hereafter,goblet,ATK,1
Vermillion Hereafter,goblet,AnemoDMG,1
Vermillion Hereafter,goblet,CryoDMG,1
Vermillion Hereafter,goblet,DEF,1
Vermillion Hereafter,goblet,DendroDMG,1
Vermillion Hereafter,goblet,EM,1
Vermillion Hereafter,goblet,ElectroDMG,1
Vermillion Hereafter,goblet,GeoDMG,1
Vermillion Hereafter,goblet,HP,1
Vermillion Hereafter,goblet,HydroDMG,1
Vermillion Hereafter,goblet,PyroDMG,1
Vermillion Hereafter,plume,ATK,1
Vermillion Hereafter,sands,ATK,1
Vermillion Hereafter,sands,DEF,1
Vermillion Hereafter,sands,EM,1
Vermillion Hereafter,sands,ER,1
Vermillion Hereafter,sands,HP,1
Viridescent Past,Circlet,HealingBonus,1
Viridescent Past,Feather,ATK,1
Viridescent Past,Flower,HP,1
Viridescent Past,Goblet,ATK,1
Viridescent Past,Sands,ATK,1
Viridescent Vener,Circlet,EM,1
Viridescent Vener,Feather,ATK,1
Viridescent Vener,Flower,HP,1
Viridescent Vener,Goblet,EM,1
Viridescent Vener,Sands,EM,1
Viridescent Venerer,Circlet,ATK,1
Viridescent Venerer,Circlet,CritDMG,1
Viridescent Venerer,Circlet,CritRate,1
Viridescent Venerer,Goblet,AnemoDMG,1
Viridescent Venerer,Sands,ATK,1
Viridescent Venerer,circlet,ATK,1
Viridescent Venerer,circlet,DEF,1
Viridescent Venerer,circlet,EM,1
Viridescent Venerer,circlet,HP,1
Viridescent Venerer,circlet,HealingBonus,1
Viridescent Venerer,circlet,critDMG,1
Viridescent Venerer,circlet,critRate,1
Viridescent Venerer,flower,hp,1
Viridescent Venerer,goblet,ATK,1
Viridescent Venerer,goblet,AnemoDMG,1
Viridescent Venerer,goblet,CryoDMG,1
Viridescent Venerer,goblet,DEF,1
Viridescent Venerer,goblet,DendroDMG,1
Viridescent Venerer,goblet,EM,1
Viridescent Venerer,goblet,ElectroDMG,1
Viridescent Venerer,goblet,GeoDMG,1
Viridescent Venerer,goblet,HP,1
Viridescent Venerer,goblet,HydroDMG,1
Viridescent Venerer,goblet,PyroDMG,1
Viridescent Venerer,plume,ATK,1
Viridescent Venerer,sands,ATK,1
Viridescent Venerer,sands,DEF,1
Viridescent Venerer,sands,EM,1
Viridescent Venerer,sands,ER,1
Viridescent Venerer,sands,HP,1
Viridescent Veneter,Circlet,HealingBonus,1
Viridescent Veneter,Feather,ATK,1
Viridescent Veneter,Flower,HP,1
Viridescent Veneter,Goblet,ATK,1
Viridescent Veneter,Sands,ER,1
Vouroukasha's Glow,Circlet,EM,1
Vouroukasha's Glow,Feather,ATK,1
Vouroukasha's Glow,Flower,HP,1
Vouroukasha's Glow,Goblet,EM,1
Vouroukasha's Glow,Sands,EM,1
Vourukasha's Glow,Flower,HP,1
Vourukasha's Glow,circlet,ATK,1
Vourukasha's Glow,circlet,DEF,1
Vourukasha's Glow,circlet,EM,1
Vourukasha's Glow,circlet,HP,1
Vourukasha's Glow,circlet,HealingBonus,1
Vourukasha's Glow,circlet,critDMG,1
Vourukasha's Glow,circlet,critRate,1
Vourukasha's Glow,flower,hp,1
Vourukasha's Glow,goblet,ATK,1
Vourukasha's Glow,goblet,AnemoDMG,1
Vourukasha's Glow,goblet,CryoDMG,1
Vourukasha's Glow,goblet,DEF,1
Vourukasha's Glow,goblet,DendroDMG,1
Vourukasha's Glow,goblet,EM,1
Vourukasha's Glow,goblet,ElectroDMG,1
Vourukasha's Glow,goblet,GeoDMG,1
Vourukasha's Glow,goblet,HP,1
Vourukasha's Glow,goblet,HydroDMG,1
Vourukasha's Glow,goblet,PyroDMG,1
Vourukasha's Glow,plume,ATK,1
Vourukasha's Glow,sands,ATK,1
Vourukasha's Glow,sands,DEF,1
Vourukasha's Glow,sands,EM,1
Vourukasha's Glow,sands,ER,1
Vourukasha's Glow,sands,HP,1
Wanderer's Troupe,Circlet,CritRate,1
Wanderer's Troupe,Goblet,Cryo-DMG,1
Wanderer's Troupe,Goblet,DendroDMG,1
Wanderer's Troupe,Goblet,ElectroDMG,1
Wanderer's Troupe,Sands,ATK,1
Wanderer's Troupe,Sands,EM,1
Wanderer's Troupe,Sands,ER,1
Wanderer's Troupe,circlet,ATK,1
Wanderer's Troupe,circlet,DEF,1
Wanderer's Troupe,circlet,EM,1
Wanderer's Troupe,circlet,HP,1
Wanderer's Troupe,circlet,HealingBonus,1
Wanderer's Troupe,circlet,critDMG,1
Wanderer's Troupe,circlet,critRate,1
Wanderer's Troupe,flower,hp,1
Wanderer's Troupe,goblet,ATK,1
Wanderer's Troupe,goblet,AnemoDMG,1
Wanderer's Troupe,goblet,CryoDMG,1
Wanderer's Troupe,goblet,DEF,1
Wanderer's Troupe,goblet,DendroDMG,1
Wanderer's Troupe,goblet,EM,1
Wanderer's Troupe,goblet,ElectroDMG,1
Wanderer's Troupe,goblet,GeoDMG,1
Wanderer's Troupe,goblet,HP,1
Wanderer's Troupe,goblet,HydroDMG,1
Wanderer's Troupe,goblet,PyroDMG,1
Wanderer's Troupe,plume,ATK,1
Wanderer's Troupe,sands,ATK,1
Wanderer's Troupe,sands,DEF,1
Wanderer's Troupe,sands,EM,1
Wanderer's Troupe,sands,ER,1
Wanderer's Troupe,sands,HP,1
Blizzard Strayer,Sands,ER,0
Deepwood Memories,Circlet,HP,0
Deepwood Memories,Sands,ATK,0
Desert Pavillion Chronicle,Goblet,EM,0
Gilded Dreams,Goblet,HP,0
Gilded Dreams,Sands,ER,0
Golden Troupe,Feather,ATK,0
Husk of Oppulent Dreams,Feather,ATK,0
Maiden Beloved,Goblet,ElectroDMG,0
Marechaussee Hunter,Goblet,ATK,0
Noblesse Oblige,Circlet,ATK,0
Noblesse Oblige,Goblet,HP,0
Noblesse Oblige,Sands,ATK,0
Obsidian Codex,Circlet,CritDMG,0
Obsidian Codex,Circlet,HP,0
Obsidian Codex,Goblet,ATK,0
Obsidian Codex,Sands,ATK,0
Obsidian Codex,Sands,HP,0
Pale Flame,Circlet,ATK,0
Shimenawa's Reminiscence,Circlet,CritRate,0
Shimenawa's Reminiscence,Goblet,PyroDMG,0
Silken Moon's Serenade,Sands,ER,0
Tenacity of the Milileth,Circlet,HealingBonus,0
Unfinished Reverie,Feather,ATK,0
Unfinished Reverie,Goblet,ATK,0
Unfinished Reverie,Sands,ATK,0
Wanderer's Troupe,Goblet,PyroDMG,0
